iter	Passed	Remaining
0	0	676
1	1	642
2	1	646
3	2	628
4	3	611
5	3	590
6	4	582
7	4	572
8	5	563
9	5	563
10	6	563
11	6	563
12	7	561
13	8	564
14	8	561
15	9	556
16	9	553
17	10	551
18	10	550
19	11	548
20	11	551
21	12	549
22	12	547
23	13	547
24	14	548
25	14	547
26	15	545
27	15	543
28	16	541
29	16	540
30	17	537
31	17	537
32	18	536
33	18	535
34	19	534
35	20	535
36	20	534
37	21	533
38	21	531
39	22	530
40	22	529
41	23	528
42	23	528
43	24	530
44	24	529
45	25	530
46	26	530
47	26	529
48	27	529
49	27	529
50	28	528
51	28	527
52	29	525
53	29	523
54	30	523
55	30	522
56	31	521
57	32	528
58	33	539
59	34	539
60	35	540
61	35	539
62	36	537
63	36	536
64	37	535
65	37	534
66	38	534
67	38	533
68	39	531
69	39	529
70	40	528
71	40	527
72	41	526
73	41	524
74	42	523
75	42	522
76	43	521
77	44	520
78	44	519
79	45	517
80	45	516
81	45	514
82	46	510
83	46	508
84	47	508
85	47	507
86	48	506
87	48	505
88	49	504
89	49	504
90	50	503
91	51	503
92	51	502
93	52	501
94	52	500
95	53	499
96	53	498
97	54	497
98	54	497
99	55	496
100	55	496
101	56	495
102	56	494
103	57	493
104	57	493
105	58	492
106	58	491
107	59	490
108	59	489
109	60	489
110	60	488
111	61	487
112	62	487
113	62	486
114	63	485
115	63	485
116	64	483
117	64	482
118	65	481
119	65	480
120	66	479
121	66	478
122	66	477
123	67	477
124	68	476
125	68	475
126	68	474
127	69	473
128	69	472
129	70	471
130	70	470
131	71	469
132	71	468
133	72	468
134	72	467
135	73	466
136	73	465
137	74	465
138	74	464
139	75	463
140	75	462
141	76	461
142	76	460
143	77	460
144	77	459
145	78	458
146	78	457
147	79	456
148	79	456
149	80	455
150	81	455
151	81	454
152	81	453
153	82	453
154	82	452
155	83	452
156	84	451
157	84	450
158	85	450
159	85	449
160	86	448
161	86	447
162	87	447
163	87	446
164	88	445
165	88	445
166	89	444
167	89	443
168	90	442
169	90	442
170	91	441
171	92	443
172	92	443
173	93	442
174	93	442
175	94	441
176	94	441
177	95	440
178	95	439
179	96	439
180	96	438
181	97	437
182	97	437
183	98	436
184	98	436
185	99	435
186	100	435
187	100	435
188	101	434
189	101	434
190	102	433
191	102	432
192	103	432
193	103	431
194	104	430
195	104	430
196	105	429
197	105	429
198	106	428
199	106	427
200	107	427
201	107	426
202	108	425
203	108	425
204	109	424
205	110	424
206	110	423
207	111	422
208	111	422
209	112	421
210	112	421
211	113	420
212	113	419
213	114	418
214	114	418
215	115	418
216	115	417
217	116	417
218	116	416
219	117	415
220	117	415
221	118	415
222	119	414
223	119	414
224	120	413
225	120	412
226	121	412
227	121	411
228	122	411
229	122	411
230	123	410
231	123	410
232	124	409
233	124	408
234	125	407
235	125	407
236	126	406
237	126	405
238	127	405
239	127	404
240	128	404
241	128	403
242	129	402
243	129	402
244	130	401
245	130	401
246	131	400
247	131	399
248	132	399
249	132	398
250	133	397
251	133	397
252	134	396
253	134	396
254	135	395
255	135	394
256	136	394
257	136	393
258	137	393
259	137	392
260	138	392
261	139	391
262	139	391
263	140	390
264	140	390
265	141	389
266	141	389
267	142	388
268	142	387
269	143	387
270	143	386
271	144	385
272	144	385
273	145	384
274	145	384
275	146	383
276	146	383
277	147	382
278	147	382
279	148	381
280	148	380
281	149	380
282	149	379
283	150	378
284	150	377
285	151	377
286	151	377
287	152	376
288	152	375
289	153	375
290	153	374
291	154	373
292	154	373
293	155	372
294	155	372
295	156	371
296	156	370
297	157	370
298	157	370
299	158	369
300	158	369
301	159	368
302	159	368
303	160	367
304	161	366
305	161	366
306	162	365
307	162	365
308	163	364
309	163	364
310	164	363
311	164	363
312	165	362
313	165	361
314	166	361
315	166	360
316	167	360
317	167	359
318	168	359
319	168	358
320	169	358
321	170	357
322	170	357
323	171	356
324	171	356
325	172	355
326	172	355
327	173	354
328	173	354
329	174	354
330	175	353
331	175	353
332	176	352
333	176	352
334	177	351
335	177	351
336	178	350
337	178	349
338	179	349
339	179	348
340	180	348
341	180	347
342	181	346
343	181	346
344	182	345
345	182	345
346	183	344
347	183	344
348	184	343
349	184	342
350	185	342
351	185	341
352	186	340
353	186	340
354	187	339
355	187	339
356	188	338
357	188	338
358	189	337
359	189	337
360	190	336
361	190	336
362	191	335
363	191	335
364	192	335
365	193	334
366	193	334
367	194	333
368	194	333
369	195	332
370	195	332
371	196	331
372	196	330
373	197	330
374	197	329
375	198	329
376	199	328
377	199	328
378	200	327
379	200	327
380	201	326
381	201	326
382	202	325
383	202	324
384	202	324
385	203	323
386	204	323
387	204	322
388	205	323
389	206	323
390	207	322
391	207	322
392	208	321
393	208	321
394	209	320
395	209	320
396	210	319
397	210	319
398	211	318
399	212	318
400	212	317
401	212	316
402	213	316
403	214	315
404	214	315
405	215	314
406	215	313
407	215	313
408	216	312
409	217	312
410	217	311
411	218	311
412	218	310
413	219	310
414	219	309
415	220	309
416	220	308
417	221	308
418	221	307
419	222	307
420	222	306
421	223	306
422	224	305
423	224	305
424	225	304
425	225	304
426	226	303
427	226	303
428	227	302
429	227	301
430	228	301
431	228	300
432	229	300
433	229	299
434	230	298
435	230	298
436	231	297
437	231	297
438	232	296
439	232	296
440	233	295
441	233	294
442	234	294
443	234	293
444	235	293
445	235	292
446	236	292
447	236	291
448	237	291
449	237	290
450	238	290
451	238	289
452	239	289
453	240	288
454	240	288
455	241	287
456	241	287
457	242	286
458	242	285
459	243	285
460	243	284
461	244	284
462	244	283
463	245	283
464	245	282
465	246	282
466	246	281
467	247	281
468	247	280
469	248	280
470	248	279
471	249	278
472	249	278
473	250	277
474	250	277
475	251	276
476	251	276
477	252	275
478	253	275
479	253	274
480	253	274
481	254	273
482	254	272
483	255	272
484	255	271
485	256	271
486	256	270
487	257	270
488	257	269
489	258	268
490	258	268
491	259	267
492	259	267
493	260	266
494	260	266
495	261	265
496	261	264
497	262	264
498	262	263
499	263	263
500	263	262
501	264	261
502	264	261
503	265	260
504	265	260
505	266	259
506	266	259
507	267	258
508	267	258
509	268	257
510	268	256
511	268	256
512	269	255
513	269	255
514	270	254
515	271	254
516	271	253
517	272	253
518	272	252
519	273	252
520	273	251
521	274	250
522	274	250
523	275	249
524	275	249
525	276	248
526	276	248
527	277	247
528	277	247
529	278	246
530	278	246
531	279	245
532	279	245
533	280	244
534	280	244
535	281	243
536	281	243
537	282	242
538	282	241
539	283	241
540	283	240
541	284	240
542	284	239
543	285	239
544	285	238
545	286	238
546	286	237
547	287	236
548	287	236
549	288	235
550	288	235
551	289	234
552	289	234
553	290	233
554	290	233
555	291	232
556	291	232
557	292	231
558	292	231
559	293	230
560	294	230
561	294	229
562	294	228
563	295	228
564	296	227
565	296	227
566	297	226
567	297	226
568	297	225
569	298	225
570	299	224
571	299	224
572	300	223
573	300	223
574	301	222
